id,name,address,lat,lon,url_2gis,district
70000001091770674,"Almaty Parking, парковка №2017","Алматы, Объект",43.244116,76.93847,https://2gis.kz/almaty/firm/70000001091770674,Алматы
70000001110966189,"Almaty Parking, парковка №2018","Алматы, Объект",43.243213,76.942833,https://2gis.kz/almaty/firm/70000001110966189,Алматы
9429940000794505,"Горный, автостоянка","Алматы, улица Зеина Шашкина, 36/1",43.220757,76.938259,https://2gis.kz/almaty/firm/9429940000794505,Алматы
70030077075115615,подземная парковка,"Алматы, подземная парковка",43.22777,76.936527,https://2gis.kz/almaty/firm/70030077075115615,Алматы
70000001057443367,"Almaty Parking, парковка №6021","Алматы, Объект",43.238747,76.950354,https://2gis.kz/almaty/firm/70000001057443367,Алматы
70000001097175310,"Almaty Parking, парковка №4801","Алматы, Объект",43.2285,76.946131,https://2gis.kz/almaty/firm/70000001097175310,Алматы
70000001098489799,"Shafran, парковка","Алматы, Объект",43.230522,76.935912,https://2gis.kz/almaty/firm/70000001098489799,Алматы
70000001102686196,"Urban parking, парковка БЦ Нурлы Тау","Алматы, Объект",43.231572,76.94479,https://2gis.kz/almaty/firm/70000001102686196,Алматы
70000001057445410,Парковка МФК Samal Moll,"Алматы, Объект",43.232551,76.9512,https://2gis.kz/almaty/firm/70000001057445410,Алматы
70000001113772931,"Elpark, парковка Almaty Theatre","Алматы, Объект",43.227304,76.946036,https://2gis.kz/almaty/firm/70000001113772931,Алматы
70000001021580497,Автостоянка,"Алматы, улица Зеина Шашкина, 32Б/1",43.221297,76.937007,https://2gis.kz/almaty/firm/70000001021580497,Алматы
70000001110968611,"Almaty Parking, парковка №4004","Алматы, Объект",43.24098,76.934517,https://2gis.kz/almaty/firm/70000001110968611,Алматы
70030077129151583,Парковка Бесплатная,"Алматы, Парковка Бесплатная",43.224898,76.934846,https://2gis.kz/almaty/firm/70030077129151583,Алматы
9430468281761834,Парковка БЦ Нурлы Тау,"Алматы, Парковка БЦ Нурлы Тау",43.229124,76.947442,https://2gis.kz/almaty/firm/9430468281761834,Алматы
70000001054953038,Платная парковка,Алматы,43.24047,76.925454,https://2gis.kz/almaty/firm/70000001054953038,Алматы
70000001110969820,"Almaty Parking, парковка №4006","Алматы, Объект",43.232626,76.947555,https://2gis.kz/almaty/firm/70000001110969820,Алматы
70000001054953214,Подземная парковка ТРЦ Достык Плаза,"Алматы, Подземная парковка ТРЦ Достык Плаза",43.232612,76.956927,https://2gis.kz/almaty/firm/70000001054953214,Алматы
70000001057445189,"Almaty Parking, парковка №4005","Алматы, Объект",43.237308,76.94833,https://2gis.kz/almaty/firm/70000001057445189,Алматы
70000001054917623,Парковка ТРЦ Достык Плаза,"Алматы, Объект",43.232729,76.956713,https://2gis.kz/almaty/firm/70000001054917623,Алматы
70000001054875981,Парковка ТРЦ Ритц-Палас,"Алматы, Объект",43.228294,76.959928,https://2gis.kz/almaty/firm/70000001054875981,Алматы
9430047408908470,"проспект Достык, 56/1","Алматы, проспект Достык, 56/1",43.243556,76.957925,https://2gis.kz/almaty/firm/9430047408908470,Алматы
70000001110950902,"Almaty Parking, парковка №6015","Алматы, Объект",43.244121,76.956656,https://2gis.kz/almaty/firm/70000001110950902,Алматы
70000001077789484,Парковка ТК Евразия,"Алматы, Объект",43.234489,76.955676,https://2gis.kz/almaty/firm/70000001077789484,Алматы
70000001090152171,"Almaty Parking, парковка №6020","Алматы, Объект",43.240855,76.957303,https://2gis.kz/almaty/firm/70000001090152171,Алматы
70000001111018891,Крытая парковка Koktem Grand,Алматы,43.230286,76.960515,https://2gis.kz/almaty/firm/70000001111018891,Алматы
70000001054847567,Парковка ТЦ Colibri,"Алматы, Объект",43.240132,76.954576,https://2gis.kz/almaty/firm/70000001054847567,Алматы
70000001110219021,Парковка Koktem Grand,"Алматы, Объект",43.229442,76.961083,https://2gis.kz/almaty/firm/70000001110219021,Алматы
70000001102945982,"Maksat Med, парковка","Алматы, Объект",43.254395,76.822232,https://2gis.kz/almaty/firm/70000001102945982,Алматы
70000001101402689,Парковка ТЦ Alatau Plaza,"Алматы, Объект",43.260868,76.851601,https://2gis.kz/almaty/firm/70000001101402689,Алматы
70000001101413914,Парковка ТЦ Бакорда,"Алматы, Объект",43.261385,76.853716,https://2gis.kz/almaty/firm/70000001101413914,Алматы
70000001111579415,Парковка супермаркета Magnum Cash & Carry,"Алматы, Объект",43.25044,76.824184,https://2gis.kz/almaty/firm/70000001111579415,Алматы
70000001086720942,"Evs, компания","Алматы, Объект",43.261983,76.816229,https://2gis.kz/almaty/firm/70000001086720942,Алматы
70000001090078135,"Almaty Parking, парковка №2021","Алматы, Объект",43.247778,76.876994,https://2gis.kz/almaty/firm/70000001090078135,Алматы
9430047375175870,"улица Фурката, 15","Алматы, улица Фурката, 15",43.25102,76.858169,https://2gis.kz/almaty/firm/9430047375175870,Алматы
70000001088456887,"Almaty Parking, парковка №4021","Алматы, Объект",43.248966,76.879309,https://2gis.kz/almaty/firm/70000001088456887,Алматы
70000001113619759,"Almaty Parking, парковка №3802","Алматы, Объект",43.246004,76.858658,https://2gis.kz/almaty/firm/70000001113619759,Алматы
70000001057443788,Автостоянка,"Алматы, улица Карасай батыра, 152Б",43.248467,76.906176,https://2gis.kz/almaty/firm/70000001057443788,Алматы
70000001101626912,Парковка ТРК Maxima,"Алматы, Объект",43.264028,76.900254,https://2gis.kz/almaty/firm/70000001101626912,Алматы
70000001093698072,"Almaty Parking, парковка №2024","Алматы, Объект",43.257641,76.887346,https://2gis.kz/almaty/firm/70000001093698072,Алматы
70000001110965477,Парковка ТК Жулдыз,"Алматы, Объект",43.258039,76.886815,https://2gis.kz/almaty/firm/70000001110965477,Алматы
70000001054882238,"Parqour, парковка ТД Тумар","Алматы, Объект",43.252722,76.900798,https://2gis.kz/almaty/firm/70000001054882238,Алматы
70000001054882568,Парковка ТЦ ToiMart,"Алматы, Объект",43.255939,76.887552,https://2gis.kz/almaty/firm/70000001054882568,Алматы
70000001090234759,"Almaty Parking, парковка №2011","Алматы, Объект",43.247795,76.902767,https://2gis.kz/almaty/firm/70000001090234759,Алматы
70000001057443382,"Almaty Parking, парковка №2004","Алматы, Объект",43.25575,76.929019,https://2gis.kz/almaty/firm/70000001057443382,Алматы
70000001019155915,Автостоянка,"Алматы, улица Ураза Исаева, 140",43.248026,76.909932,https://2gis.kz/almaty/firm/70000001019155915,Алматы
70000001101612553,Парковка ТЦ City Center,"Алматы, Объект",43.252311,76.911828,https://2gis.kz/almaty/firm/70000001101612553,Алматы
70000001110968782,"Almaty Parking, парковка №2015","Алматы, Объект",43.244474,76.917923,https://2gis.kz/almaty/firm/70000001110968782,Алматы
70000001083661153,Паркинг БЦ Гермес,"Алматы, улица Муратбаева, 180/1",43.247147,76.920277,https://2gis.kz/almaty/firm/70000001083661153,Алматы
70000001090075383,"Almaty Parking, парковка №2009","Алматы, Объект",43.250153,76.928806,https://2gis.kz/almaty/firm/70000001090075383,Алматы
70000001100259399,Парковка БЦ Tolebi 101,"Алматы, Объект",43.253751,76.924823,https://2gis.kz/almaty/firm/70000001100259399,Алматы
70000001083475454,"Almaty Parking, парковка №2010","Алматы, Объект",43.249856,76.9219,https://2gis.kz/almaty/firm/70000001083475454,Алматы
70000001104944590,"Aula.pass, платная парковка","Алматы, Объект",43.254941,76.925984,https://2gis.kz/almaty/firm/70000001104944590,Алматы
70030076861608325,Парковка,"Алматы, Парковка",43.257023,76.932588,https://2gis.kz/almaty/firm/70030076861608325,Алматы
9429940001288516,"Маржан Н., автостоянка","Алматы, улица Уалиханова, 49",43.261635,76.95065,https://2gis.kz/almaty/firm/9429940001288516,Алматы
